uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
73,One North Fourth,https://s3-media2.fl.yelpcdn.com/bphoto/6eCmt1_hLjY26N3PB9807Q/o.jpg,40.71948716,-73.96423853,11249,3.5,140,1653.538651,3.483845042,1.913398456,2.976712436,2.445055446,69.67690083,38.26796911,59.53424871
74,StuyTown,https://s3-media1.fl.yelpcdn.com/bphoto/sgvZYNnwgRB7Hpx1UpPAqQ/o.jpg,40.731763,-73.98196528,10009,2.5,109,1534.920574,1.5,3.878669546,0.732706686,2.305688116,30,77.57339091,14.65413371
75,600 Washington Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/i2ANu-PNN_R4XBqjiu2PTw/o.jpg,40.73081,-74.00925,10014,3.5,101,2024.324771,1.5,4.034968422,2.399317569,3.217142996,30,80.69936844,47.98635138
76,Metropolis,https://s3-media1.fl.yelpcdn.com/bphoto/VrsTc-iwicIKXztTqR4Gaw/o.jpg,40.75218848,-73.9741715,10017,4.5,88,875,5,3.921464031,0.808746885,2.365105458,100,78.42928062,16.17493769
77,Sky,https://s3-media2.fl.yelpcdn.com/bphoto/rLBed3_3HY9ye9esX0hiIA/o.jpg,40.761309,-73.99881,10036,2.5,155,3175,3.296273002,3.957477761,4.584799529,4.271138645,65.92546003,79.14955521,91.69599058
78,TF Cornerstone,https://s3-media3.fl.yelpcdn.com/bphoto/-kdT6I4ADiOHxMBIOqbxfA/o.jpg,40.6884983,-73.9835728,11201,3.5,40,831.6666667,1.5,3.857663794,3.749104764,3.803384279,30,77.15327588,74.98209528
79,175 Kent Apartments,https://s3-media1.fl.yelpcdn.com/bphoto/jQxJbxvb6YKjjgVnW9uTaw/o.jpg,40.7179341,-73.9634425,11249,4,140,3650,3.483845042,3.864724807,1.399581308,2.632153058,69.67690083,77.29449614,27.99162616
80,Avalon Brooklyn Bay,https://s3-media4.fl.yelpcdn.com/bphoto/1_9KRju_8X5WptP3a31lrg/o.jpg,40.58583,-73.95375,11235,3.5,178,1651.869635,1.695658263,3.718049267,2.586880236,3.152464751,33.91316525,74.36098533,51.73760472
81,180 Water Street,https://s3-media4.fl.yelpcdn.com/bphoto/iUnjjy3mm8Eujj9l-gstzg/o.jpg,40.707,-74.00554,10038,2.5,105,1700,1.5,3.77362872,5,4.38681436,30,75.47257439,100
82,The Nicole,https://s3-media4.fl.yelpcdn.com/bphoto/YnleFlARDLaLiMpnpXSoyQ/o.jpg,40.766552,-73.9868622,10019,4.5,90,1480.894826,3.212907651,2.145334572,3.219031553,2.682183062,64.25815301,42.90669143,64.38063105
83,Sloane Chelsea,https://s3-media1.fl.yelpcdn.com/bphoto/eh5ukBtx6pzCST4PBCb-Og/o.jpg,40.75301,-73.99582,10001,1,34,1497.5,3.409953026,3.086692279,2.21226376,2.649478019,68.19906051,61.73384557,44.2452752
84,The Eugene,https://s3-media3.fl.yelpcdn.com/bphoto/KgsLtzmDHtc16LnnQoxH1Q/o.jpg,40.75212794,-73.99902146,10001,4,150,1150,3.93540736,3.493761273,3.373196456,3.433478864,78.70814719,69.87522546,67.46392911
85,The Markle Evangeline Residence,https://s3-media2.fl.yelpcdn.com/bphoto/aIXz906hdnbq7oY8N9SkEA/o.jpg,40.73725,-73.99844,10011,3,77,1650.627121,1.5,3.230611762,0.61836865,1.924490206,30,64.61223523,12.36737299
86,267 Pacific,https://s3-media1.fl.yelpcdn.com/bphoto/qOePbGtGhsE-dGewC53KUA/o.jpg,40.68829,-73.989883,11201,5,40,3971,1.5,3.513971822,2.221167856,2.867569839,30,70.27943644,44.42335711
87,Newport Jersey City Apartments,https://s3-media4.fl.yelpcdn.com/bphoto/dCnUAATIwehcuXrJ3oloBA/o.jpg,40.7264084,-74.0341659,7310,3,121,1600,2.671032869,1.979641218,2.958533072,2.469087145,53.42065738,39.59282435,59.17066144
