,name,latitude,longitude,zipcode,rating,categories,transactions,cluster,centroids
102,The 99 Cent Taco Truck,40.790896,-73.9451536,10029,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",[],115,0
103,Sweetwater Restaurant,40.7184736,-73.9600178,11249,4,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",[],140,0
104,Pizza Yard,40.698572,-73.971197,11205,4,"[{'alias': 'pizza', 'title': 'Pizza'}]","['pickup', 'delivery']",188,0
105,Peter?? Crunchy Red Tacos,40.70305,-73.9193,11237,4,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",[],32,0
106,Brooklyn Gourmet Deli,40.713143,-73.962035,11211,4.5,"[{'alias': 'delis', 'title': 'Delis'}]",[],165,0
107,Daigo Handroll Bar,40.690884,-73.982863,11201,4.5,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]","['pickup', 'delivery']",40,0
108,YunShang Rice Noodle House,40.635291,-74.011219,11220,4,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","['pickup', 'delivery']",151,0
109,Farmer In the Deli,40.69333,-73.97172,11205,4.5,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","['pickup', 'delivery']",188,0
110,Noodle Pudding,40.69979,-73.99203,11201,4,"[{'alias': 'italian', 'title': 'Italian'}]",['delivery'],160,0
111,To Date Japanese Food,40.637337,-74.008481,11220,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","['pickup', 'delivery']",151,0
112,MONO+MONO,40.72549,-73.98803,10003,4,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]","['pickup', 'delivery']",109,0
113,Juliana's - Time Out Market,40.703447,-73.99215,11201,4,"[{'alias': 'pizza', 'title': 'Pizza'}]",[],160,0
114,NAYA - Union Sq,40.73347074,-73.9930257,10003,4,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",[],16,0
115,Rao's,40.79392,-73.93427,10029,4.5,"[{'alias': 'italian', 'title': 'Italian'}]",['delivery'],199,1
116,Russ & Daughters - Brooklyn,40.69799,-73.97116,11205,3,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delis', 'title': 'Delis'}]",['delivery'],188,0
117,Ruby's - Murray Hill,40.74364,-73.97985,10016,4,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'australian', 'title': 'Australian'}]","['pickup', 'delivery']",2,0
118,S Wan Cafe ?????,40.71725,-73.99254,10002,4.5,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hkcafe', 'title': 'Hong Kong Style Cafe'}]",['delivery'],62,0
119,Peck's,40.693489,-73.967376,11205,4,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","['pickup', 'delivery']",73,0
120,House of Small Wonder,40.718991,-73.960833,11249,4,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'japanese', 'title': 'Japanese'}]",[],140,0
121,White Noise Coffee Co,40.6896242,-73.9882489,11201,4.5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",['delivery'],40,0
122,Kill It Then Grill It,40.71829107,-73.99416399,10002,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",[],86,0
123,The Honey Well,40.82849,-73.94862,10031,4.5,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]","['pickup', 'restaurant_reservation', 'delivery']",89,0
124,Tacocina,40.715238,-73.967644,11249,3.5,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",['delivery'],39,0
125,Thai Sidewalk,40.7024794,-73.9885649,11201,4.5,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'thai', 'title': 'Thai'}]",[],80,1
126,Brooklyn Ice House,40.67919,-74.011099,11231,4.5,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'pubs', 'title': 'Pubs'}]","['pickup', 'delivery']",91,0
127,Paulie Gee's Slice Shop,40.72836,-73.9572,11222,4,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",['delivery'],124,0
128,Frankel's Delicatessen,40.723826,-73.9509979,11222,4,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",['delivery'],99,0
129,Almondine Bakery,40.7033174,-73.9912506,11201,4,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",['delivery'],160,0
130,Swell Dive,40.68918386,-73.95496096,11205,4,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'bars', 'title': 'Bars'}]","['pickup', 'delivery']",11,0
131,Roy's Fish Market,40.76173473,-73.96041717,10065,4.5,"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","['pickup', 'delivery']",104,0
132,Piccola Cucina Uptown,40.763174,-73.969046,10022,4.5,"[{'alias': 'sicilian', 'title': 'Sicilian'}]","['pickup', 'delivery']",66,0
133,HVRMINN,40.70308,-73.98392,11201,4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",[],80,0
134,Bohemien Bar,40.691171,-73.99704,11201,4,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","['pickup', 'delivery']",19,0
135,Bo Hai Dumpling Town,40.714058,-73.987381,10002,5,"[{'alias': 'chinese', 'title': 'Chinese'}]",[],38,0
136,Negril BK,40.67501,-73.98163,11215,4,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","['pickup', 'delivery']",76,0
137,The Burrito Box,40.76831,-73.98565,10019,4,"[{'alias': 'mexican', 'title': 'Mexican'}]",['delivery'],90,0
138,Madre,40.73311,-73.95798,11222,4.5,"[{'alias': 'newamerican', 'title': 'American (New)'}]",['delivery'],124,0
139,E-Mo,40.7471962,-73.9861908,10001,4,"[{'alias': 'korean', 'title': 'Korean'}]",['delivery'],98,0
140,Barking Dog,40.76240731,-73.98781845,10019,4.5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",[],184,0
